,Modelo_1,Modelo_2,Observado,Forecast,Upper,Lower
2019-06-02,ARIMAX,,3.0,2.975039658846083,7.998772472662963,0.40223877857974966
2019-06-09,ARIMAX,,0.0,2.9702549042880304,7.981103906009879,0.40229763540515234
2019-06-16,ARIMAX,,4.0,1.2579611557109713,4.130217903938726,-0.20821205518242575
2019-06-23,ARIMAX,,2.0,2.1886059972873073,6.2586707606149785,0.11459602542156332
2019-06-30,ARIMAX,,2.0,2.2821402178153485,6.4656481724685095,0.14879503239393874
2019-07-07,ARIMAX,,3.0,2.4125149256709486,6.755956854946848,0.1960092369713082
2019-07-14,ARIMAX,,0.0,2.7951187812471168,7.620792263622933,0.3313063760927465
2019-07-21,ARIMAX,,3.0,1.5281000279982155,4.7666006559739715,-0.11919528823785118
2019-07-28,ARIMAX,,7.0,2.335931728469445,6.61104497004154,0.16181044759551727
2019-08-04,ARIMAX,,5.0,4.362662565414188,11.265211001792823,0.8601079079245149
2019-08-11,ARIMAX,,6.0,4.802503805962165,12.262850987525967,1.014762288848402
2019-08-18,ARIMAX,,4.0,5.896799752710975,14.756443919832165,1.3966458217162467
2019-08-25,ARIMAX,,7.0,4.8956664139181685,12.460359527572002,1.0509833466770977
2019-09-01,ARIMAX,,6.0,7.451462267724132,18.290973384767724,1.9412257677594025
2019-09-08,ARIMAX,,3.0,7.9065520048762545,19.313967443731737,2.1035709017189106
2019-09-15,ARIMAX,,2.0,6.051777362722648,15.096343432790702,1.4540568941258536
2019-09-22,ARIMAX,,5.0,4.073141736992478,10.591939255741618,0.7624639094838822
2019-09-29,ARIMAX,,4.0,4.787723852694453,12.21805678077448,1.0123925859579586
2019-10-06,ARIMAX,,8.0,4.835400080222727,12.31653256586849,1.0315844107212302
2019-10-13,ARIMAX,,2.0,6.052016901975732,15.096089702606344,1.454341435707485
2019-10-20,ARIMAX,,5.0,4.289310905946896,11.085159632550518,0.837743513678025
2019-10-27,ARIMAX,,2.0,4.609449136075057,11.809094106975962,0.9508627173586841
2019-11-03,ARIMAX,,8.0,3.582819407697283,9.465579766020218,0.5936241538914726
2019-11-10,ARIMAX,,2.0,5.111351629922166,12.973937100379075,1.1207111834407684
2019-11-17,ARIMAX,,10.0,3.759777188471137,9.88769848207559,0.6506448707131997
2019-11-24,ARIMAX,,2.0,5.643432356658532,14.229964719444348,1.2955062593138174
2019-12-01,ARIMAX,,6.0,4.358552073015954,11.293141717877903,0.8493633296254485
2019-12-08,ARIMAX,,9.0,5.206906390699327,13.23504503893196,1.1432260802984735
2019-12-15,ARIMAX,,3.0,6.985719860080595,17.321419982000805,1.7557501594181955
2019-12-22,ARIMAX,,6.0,5.708388021201379,14.395353767838282,1.3138474641324147
2019-12-29,ARIMAX,,14.0,6.7066962787491,16.674225012396036,1.6612157086038044
2020-01-05,ARIMAX,,16.0,9.645989704503467,23.443606111336145,2.66909327129861
2020-01-12,ARIMAX,,14.0,12.99282068266966,31.13865832931976,3.8199310201136822
2020-01-19,ARIMAX,,16.0,14.887874943995557,35.46736766059597,4.478621618550756
2020-01-26,ARIMAX,,16.0,16.131340843017178,38.29576905732799,4.913805700044031
2020-02-02,ARIMAX,,12.0,18.070736857667082,42.71256308742523,5.591210514284388
2020-02-09,ARIMAX,,22.0,16.410913403753536,38.88746305024198,5.0226753435937885
2020-02-16,ARIMAX,,10.0,19.4329313110594,45.80003647526062,6.070705500592364
2020-02-23,ARIMAX,,7.0,15.883358598436372,37.67206166995463,4.841884549832747
2020-03-01,ARIMAX,,7.0,12.355273314080117,29.60601150931984,3.617328303686608
2020-03-08,ARIMAX,,8.0,9.793990265986858,23.73001515272414,2.7333995070114026
2020-03-15,ARIMAX,,3.0,9.442541084348257,22.90741919559054,2.61618430670665
2020-03-22,ARIMAX,,4.0,6.00649691616968,15.06625760688968,1.4199660329783497
2020-03-29,ARIMAX,,2.0,4.924085865706529,12.576219536293564,1.04811081112861
2020-04-05,ARIMAX,,3.0,3.2070095995507093,8.643672751079043,0.4538558193027841
2020-04-12,ARIMAX,,1.0,2.7998305248484097,7.704208982719197,0.3146628500121234
2020-04-19,ARIMAX,,1.0,1.8005192864479185,5.415766918849354,-0.031243833084616302
2020-04-26,ARIMAX,,0.0,1.2832493919343273,4.22763319056003,-0.2094014762860748
2020-05-03,ARIMAX,,0.0,0.5533208442489341,2.5594742379572137,-0.4629094183255704
2020-05-10,ARIMAX,,0.0,0.23809720505267487,1.8359584529290773,-0.5716114099515027
